,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
20,4.74003601074,5.07807016373,0.447292029858,216.032119751,7.35047608407,9.83445930481,0.583161532879,2088,2.78191661835,10.7756528854,10.935716629,10.935716629,8.97598796474,0.385654264211,3958,4.25618028641,4.25618028641,4.19830274582
21,7.24578952789,5.07654714584,0.534256875515,216.032119751,6.95784830929,9.68847560883,0.492704391479,2088,2.78191661835,10.7756528854,10.9439992905,10.9439992905,8.70835164561,0.345641551714,3958,4.18621110916,4.18621110916,4.19830274582
22,11.076174736,5.02201271057,0.451939761639,216.032119751,6.55056518206,9.72159290314,0.476696461439,2088,2.78191661835,10.7756528854,10.9243440628,10.9243440628,8.74041894342,0.340398169645,3958,4.19106912613,4.19106912613,4.19830274582
23,16.931438446,5.03603839874,0.534044325352,216.032119751,6.01475836929,9.52322673798,0.462997019291,2088,2.78191661835,10.7756528854,10.9513587952,10.9513587952,8.43885009912,0.319321897913,3958,4.18057203293,4.18057203293,4.19830274582
24,25.8820056915,5.45916700363,0.514568567276,216.032119751,5.75767888686,9.20112705231,0.46635428071,2088,2.78191661835,10.7756528854,10.9259061813,10.9259061813,8.37656016574,0.320585493058,3958,4.19247102737,4.19247102737,4.19830274582
25,39.5641670227,5.60711479187,0.603727996349,216.032119751,5.10612699952,8.96485805511,0.465365558863,2088,2.78191661835,10.7756528854,10.9344015121,10.9344015121,8.05568934173,0.356036230094,3958,4.19838571548,4.19838571548,4.19830274582
26,60.4792098999,6.0994310379,0.493038356304,216.032119751,4.55613928734,8.60575675964,0.450553417206,2088,2.78191661835,10.7756528854,10.9198560715,10.9198560715,7.76284644143,0.392806198391,3958,4.22330141068,4.22330141068,4.19830274582
27,92.4506912231,6.54102706909,0.482738852501,216.032119751,4.019602435,8.45242023468,0.494844555855,2088,2.78191661835,10.7756528854,10.9302625656,10.9302625656,7.71825022128,0.423816322983,3958,4.23424339294,4.23424339294,4.19830274582
28,141.323455811,6.95525836945,0.496854752302,216.032119751,3.48064100442,8.1424036026,0.496588557959,2088,2.78191661835,10.7756528854,10.9346017838,10.9346017838,7.44168457197,0.440400698293,3958,4.22168540955,4.22168540955,4.19830274582
29,216.032119751,7.35589742661,0.392487615347,216.032119751,3.01330708937,7.77348566055,0.506454765797,2088,2.78191661835,10.7756528854,10.9603738785,10.9603738785,7.14484013943,0.473908819623,3958,4.21822214127,4.21822214127,4.19830274582
30,330.234466553,8.06624603271,0.395940065384,216.032119751,2.28810042858,7.08110237122,0.549013495445,2088,2.78191661835,10.7756528854,10.9392442703,10.9392442703,6.64138621995,0.49741350572,3958,4.17551183701,4.17551183701,4.19830274582
31,504.808319092,8.63208770752,0.368529051542,216.032119751,1.77084008467,6.4434928894,0.443222999573,2088,2.78191661835,10.7756528854,10.9494771957,10.9494771957,6.160313411,0.403190748729,3958,4.25801944733,4.25801944733,4.19830274582
32,771.668151855,9.0378818512,0.363866686821,216.032119751,1.47905234914,5.98423624039,0.510373413563,2088,2.78191661835,10.7756528854,10.9502735138,10.9502735138,5.78656762622,0.476452277408,3958,4.18586492538,4.18586492538,4.19830274582
33,1179.59973145,9.44578933716,0.315039724112,216.032119751,1.21910041926,5.54352045059,0.464639544487,2088,2.78191661835,10.7756528854,10.940533638,10.940533638,5.44008788934,0.43496107126,3958,4.23122024536,4.23122024536,4.19830274582
34,1803.17858887,9.66647624969,0.353905200958,216.032119751,1.02441804864,5.24278974533,0.509100556374,2088,2.78191661835,10.7756528854,10.9250764847,10.9250764847,5.16749297943,0.480411464358,3958,4.2438120842,4.2438120842,4.19830274582
35,2756.40356445,9.96819877625,0.257682234049,216.032119751,0.8552672739,4.82770252228,0.370778560638,2088,2.78191661835,10.7756528854,10.9499893188,10.9499893188,4.78449254985,0.355677020611,3958,4.18760347366,4.18760347366,4.19830274582
36,4213.53759766,10.2129497528,0.216875046492,216.032119751,0.71746103865,4.46760749817,0.382081925869,2088,2.78191661835,10.7756528854,10.9485702515,10.9485702515,4.43680424326,0.370368743454,3958,4.23870897293,4.23870897293,4.19830274582
37,6440.96533203,10.3737306595,0.221436902881,216.032119751,0.529805997006,4.14850950241,0.378231614828,2088,2.78191661835,10.7756528854,10.9429283142,10.9429283142,4.13393266133,0.373200830112,3958,4.22014045715,4.22014045715,4.19830274582
38,9845.89160156,10.5154905319,0.198973447084,216.032119751,0.417014141364,3.81063055992,0.388527840376,2088,2.78191661835,10.7756528854,10.9134168625,10.9134168625,3.79977938787,0.384413928365,3958,4.2263674736,4.2263674736,4.19830274582
39,15050.7841797,10.6523275375,0.160384073853,216.032119751,0.323543651665,3.46765017509,0.252971589565,2088,2.78191661835,10.7756528854,10.9430208206,10.9430208206,3.46002211786,0.251170006614,3958,4.22055387497,4.22055387497,4.19830274582
40,23007.1699219,10.7565555573,0.17600299418,216.032119751,0.227704692888,3.18190789223,0.291379243135,2088,2.78191661835,10.7756528854,10.9146347046,10.9146347046,3.17726986668,0.290573820891,3958,4.22009468079,4.22009468079,4.19830274582
41,35169.5898438,10.8100509644,0.163776710629,216.032119751,0.169282551755,3.06651711464,0.252816259861,2088,2.78191661835,10.7756528854,10.9301805496,10.9301805496,3.06304047113,0.252423608619,3958,4.2681388855,4.2681388855,4.19830274582
42,53761.4960938,10.8592567444,0.145960003138,216.032119751,0.120304094015,2.96097540855,0.186046764255,2088,2.78191661835,10.7756528854,10.9553232193,10.9553232193,2.95945398515,0.185904376212,3958,4.21387147903,4.21387147903,4.19830274582
43,82181.7578125,10.8855857849,0.142313688993,216.032119751,0.0816987118773,2.897793293,0.242916330695,2088,2.78191661835,10.7756528854,10.9297399521,10.9297399521,2.89686660951,0.242561904891,3958,4.2279510498,4.2279510498,4.19830274582
44,125626.0,10.8883152008,0.158475339413,216.032119751,0.0549577445613,2.83004689217,0.243928894401,2088,2.78191661835,10.7756528854,10.9259634018,10.9259634018,2.82956589514,0.243922285904,3958,4.18536901474,4.18536901474,4.19830274582
45,192036.421875,10.8959159851,0.147362530231,216.032119751,0.0395663948324,2.84564518929,0.213560089469,2088,2.78191661835,10.7756528854,10.9351625443,10.9351625443,2.84540817036,0.21343736293,3958,4.20569038391,4.20569038391,4.19830274582
46,293553.78125,10.9149227142,0.136878103018,216.032119751,0.0267288274651,2.81533050537,0.23663598299,2088,2.78191661835,10.7756528854,10.9361820221,10.9361820221,2.81515956166,0.236664763059,3958,4.259288311,4.259288311,4.19830274582
47,448736.875,10.9128713608,0.123484820127,216.032119751,0.0176261329941,2.85826468468,0.205285921693,2088,2.78191661835,10.7756528854,10.9280061722,10.9280061722,2.85814872126,0.205271846991,3958,4.20015382767,4.20015382767,4.19830274582
48,685955.3125,10.9228744507,0.118381775916,216.032119751,0.0116149742384,2.81760120392,0.202077686787,2088,2.78191661835,10.7756528854,10.9588651657,10.9588651657,2.81756615549,0.202056467675,3958,4.19871091843,4.19871091843,4.19830274582
49,1048576.0,10.9130945206,0.153335601091,216.032119751,0.00762884227008,2.79809546471,0.208542600274,2088,2.78191661835,10.7756528854,10.9239749908,10.9239749908,2.79807704936,0.208531819186,3958,4.21577358246,4.21577358246,4.19830274582
